Bmr025-c4_0000040_0000110,yeah .,yeah .,z,z
Bmr025-ca_0523370_0523860,um ==,um ==,h,h
Bmr025-ca_0525570_0526140,we have ==,we have ==,s.%--,s.%--
Bmr025-ca_0526743_0527753,well that's a good point too .,well that's a good point too .,s^ba,s^ba
Bmr025-c4_0527990_0529830,here's a - here's a crazy idea actually .,here's a - here's a crazy idea actually .,s,s
Bmr025-ca_0528640_0529010,i don't know .,i don't know .,s^no,s^no
Bmr025-c4_0530546_0534646,why don't you try and merge transcriber and thisl i r ?,why don't you try and merge transcriber and thisl i_r ?,qh^cs,qh^cs
Bmr025-ca_0535020_0535990,well this is one of the reasons ==,well this is one of the reasons ==,s.%-,s.%-
Bmr025-c4_0535113_0536543,they're both tcl interfaces .,they're both tcl interfaces .,s^df,s^df
Bmr025-ca_0536491_0540471,this is the - one of the reasons that i'm going to have uh dave gelbart - gelbart .,this is the - one of the reasons that i'm gonna have uh dave gelbart - gelbart .,s^r,s^r
Bmr025-ca_0540903_0543023,having him volunteer to work on it is a really good thing .,having him volunteer to work on it is a really good thing .,s^ba,s^ba
Bmr025-ca_0543445_0545665,because he's worked on the transcriber stuff .,because he's worked on the transcriber stuff .,s^df,s^df
Bmr025-c4_0545830_0546030,right .,right .,s^aa,s^aa
Bmr025-ca_0546072_0547862,and he's more familiar with tcl t k than i am .,and he's more familiar with tcl-t_k than i am .,s^df,s^df
Bmr025-c4_0546940_0549870,and then you get - they - then you get the windows media playing for free .,and then you get - they - then you get the windows media playing for free .,s,s
Bmr025-ca_0550230_0552730,well - that's snack not - not transcriber .,well - that's snack not - not transcriber .,s^ng,s^ng
Bmr025-c4_0553600_0558940,right | but the point is that the transcriber uses snack and then you can - but you can use a - a lot of the same functionality .,right | but the point is that the transcriber uses snack and then you can - but you can use a - a lot of the same functionality .,s^aa|s^df,s^aa|s^df
Bmr025-ca_0558879_0563239,yeah yeah | i mean i - i think thisl - thisl gui probably uses snack .,yeah yeah | i mean i - i think thisl - thisl gui probably uses snack .,s^aa|s,s^aa|s
Bmr025-c4_0558940_0559220,and it's ==,and it's ==,%-,%-
Bmr025-ca_0564400_0567020,and so my intention was just to base it on that .,and so my intention was just to base it on that .,s,s
Bmr025-c4_0569330_0569510,yeah .,yeah .,s^bk,s^bk
Bmr025-c4_0569901_0576100,well my thought was is that it would be nice - it would be nice to have the running transcripts - um uh you know from speaker to speaker .,well my thought was is that it would be nice - it would be nice to have the running transcripts - um eh you know from speaker to speaker .,s^cs,s^cs
Bmr025-ca_0570480_0571130,and if it doesn't ==,and if it doesn't ==,s.%-,s.%-
Bmr025-c4_0576750_0576980,right ?,right ?,qy^d^g,qy^d^g
Bmr025-c4_0577110_0580560,do you have - you have you know a speaker mark here and a speaker mark here ?,do you have - you have you know a speaker mark here and a speaker mark here ?,qy^rt,qy^rt
Bmr025-ca_0580183_0583233,right | we'll have to figure out a user interface for that so .,right | we'll have to figure out a user interface for that so .,s^bk|s^cc,s^bk|s^cc
Bmr025-c4_0582420_0586255,right | well that - uh my thought was if you had like multitrans or whatever do it .,right | well that - eh my thought was if you had like multitrans or whatever do it .,fg|s^cs,fg|s^cs
Bmr025-c4_0586830_0587180,or whatever .,or whatever .,s^e,s^e
Bmr025-ca_0587052_0587582,yeah .,yeah .,s^am,s^am
Bmr025-ca_0588748_0594600,it might be fairly difficult to get that to work in the little short segments we'd be talking about .,it might be fairly difficult to get that to work in the little short segments we'd be talking about .,s,s
Bmr025-ca_0594600_0596866,and having the search tools and so on .,and having the search tools and so on .,s^e,s^e
Bmr025-ca_0596866_0597826,we - we can look into it .,we - we can look into it .,s^cc,s^cc
Bmr025-ca_0597866_0598076,but ==,but ==,fh,fh
Bmr025-c4_0597971_0598171,yeah .,yeah .,b,b
Bmr025-c1_0599237_0603507,the thing i was asking about with um free b s d is that it might be easier to ==,the thing i was asking about with um free b_s_d is that it might be easier to ==,s.%--,s.%--
Bmr025-c1_0603949_0609178,get powerpoint shows running in free b s d than to get this other package running in ==,get powerpoint shows running in free b_s_d than to get this other package running in ==,s.%--,s.%--
Bmr025-ca_0609891_0613631,yeah i mean we have to - i have to sit down and try it before i make too many judgments .,yeah i mean we have to - i have to sit down and try it before i make too many judgments .,s^cc,s^cc
Bmr025-c1_0613809_0614099,yeah .,yeah .,b,b
Bmr025-ca_0613811_0614401,so uh ==,so uh ==,fh,fh
Bmr025-ca_0615830_0616270,um ==,um ==,fh,fh
Bmr025-ca_0616530_0623320,my experience with the gnu compatibility library is really - it's just as hard and just as easy to port to any system .,my experience with the gnu compatibility library is really - it's just as hard and just as easy to port to any system .,s,s
Bmr025-ca_0624180_0624320,right ?,right ?,qy^d^f^g,qy^d^f^g
Bmr025-ca_0624320_0625810,the windows system isn't any harder .,the windows system isn't any harder .,s,s
Bmr025-ca_0625810_0627690,because it - it looks like a b s d system .,because it - it looks like a b_s_d system .,s^df,s^df
Bmr025-c1_0627905_0628285,uhhuh .,mm-hmm .,b,b
Bmr025-ca_0628470_0632710,it's just you know - just like all of them the include files are a little different and the function calls are a little different .,it's just you know - just like all of them the include files are a little different and the function calls are a little different .,s,s
Bmr025-c1_0632860_0633170,right .,right .,b,b
Bmr025-ca_0633261_0635221,so i - it might be a little easier .,so i - it might be a little easier .,s,s
Bmr025-ca_0635221_0636511,but it's not going to be a lot easier .,but it's not gonna be a lot easier .,s^e,s^e
Bmr025-c1_0637180_0637480,okay .,o_k .,b,b
Bmr025-c1_0638959_0640939,so there was that demo which was one of the main ones .,so there was that demo which was one of the main ones .,s^tc,s^tc
Bmr025-c1_0640939_0643570,and then we talked about - um some other stuff .,{and} then we talked about - um some other stuff .,s,s
Bmr025-c1_0643570_0648470,which would basically be - um showing off the - the transcriber interface itself .,which would basically be - um showing off the - the transcriber interface itself .,s,s
Bmr025-c1_0648470_0651620,and as you say maybe we could even merge those in some sense .,and as you say maybe we could even merge those in some sense .,s^cs,s^cs
Bmr025-c1_0651620_0652980,but - but um ==,but - but um ==,fh,fh
Bmr025-c1_0653960_0661180,uh - | and part of that was showing off what the speech non - uh nonspeech stuff that thilo has done s- - looks like .,uh - | and part of that was showing off what the speech-non- - uh nonspeech stuff that thilo has done s- - looks like .,fh|s,fh|s
Bmr025-c3_0659890_0660070,yeah .,yeah .,b,b
Bmr025-c0_0661462_0662512,can i ask one more thing about thisl ?,can i ask one more thing about thisl ?,qy,qy
Bmr025-ca_0662456_0662746,uhhuh .,mm-hmm .,s^aa^rt,s^aa^rt
Bmr025-c0_0662844_0666524,so with the i r stuff then you end up with a somewhat prioritized um ?==,so with the i_r stuff then you end up with a somewhat prioritized um ?==,qy^bu^d^rt.%-,qy^bu^d^rt.%-
Bmr025-ca_0666467_0666727,uhhuh .,mm-hmm .,s^aa^rt,s^aa^rt
Bmr025-ca_0666987_0667297,ranked .,ranked .,s^2,s^2
Bmr025-c0_0667080_0667420,excellent .,excellent .,s^bk,s^bk
Bmr025-c0_0667540_0667920,excellent .,excellent .,s^bk^r,s^bk^r
Bmr025-c0_0668863_0669013,yeah .,yeah .,b,b
Bmr025-c9_0669180_0679334,so another idea i w- - t- - had just now actually for the demo was whether it might be of interest to sh- - to show some of the prosody - uh work that don's been doing .,so another idea i w- - t- - had just now actually for the demo was whether it might be of interest to sh- - to show some of the prosody - uh work that don's been doing .,s^cs,s^cs
Bmr025-c1_0679736_0680136,uhhuh .,mm-hmm .,b^rt,b^rt
Bmr025-c9_0680560_0683000,um | actually show some of the features .,um | actually show some of the features .,fh|s^cs^e,fh|s^cs^e
Bmr025-c9_0683000_0688360,and then show for instance a task like finding sentence boundaries or finding turn boundaries .,and then show for instance a task like finding sentence boundaries or finding turn boundaries .,s^cs^e,s^cs^e
Bmr025-c9_0689330_0689670,um ==,um ==,fh,fh
Bmr025-c9_0690360_0693150,you know you can show that graphically sort of what the features are doing .,you know you can show that graphically sort of what the features are doing .,s^cs,s^cs
Bmr025-c9_0693220_0696180,it - you know it doesn't work great but it's definitely giving us something .,it - you know it doesn't work great but it's definitely giving us something .,s,s
Bmr025-c1_0696700_0697070,well i think it ==,well i think {it} ==,s.%-,s.%-
Bmr025-c9_0696729_0698599,i don't know if that would be of interest or not .,i don't know if that would be of interest or not .,s^no,s^no
Bmr025-c1_0697070_0700870,at the very least we're going to want something illustrative with that .,at <at> the very least we're gonna want something illustrative with that .,s^na,s^na
Bmr025-c1_0700870_0702360,because i'm going to want to talk about it .,cuz i'm gonna want to talk about it .,s^df,s^df
Bmr025-c1_0702470_0708570,and so i- - if there's something that shows it graphically it's much better than me just having a bullet point .,and so i- - if there's something that shows it graphically it's much better than me just having a bullet point .,s,s
Bmr025-c9_0702870_0703210,yeah .,yeah .,b,b
Bmr025-c1_0709160_0710740,pointing at something i don't know much about .,pointing at something i don't know much about .,s^e,s^e
Bmr025-c9_0709690_0711440,i mean you're looking at this now .,i mean you're looking at this now .,s,s
Bmr025-c1_0710740_0711000,so ==,so ==,fh,fh
Bmr025-c9_0711440_0713120,are you looking at waves or matlab ?,are you looking at waves or matlab ?,qr^rt,qr^rt
Bmr025-c2_0712520_0713870,um | yeah i'm starting to .,um | yeah i'm starting to .,h|s,h|s
Bmr025-c2_0714180_0714610,and ==,and ==,fh,fh
Bmr025-c2_0715741_0716771,um ==,um ==,fh,fh
Bmr025-c2_0717736_0723050,yeah we can probably find some examples of different type of prosodic events going on .,yeah we can probably find some examples of different type of prosodic events going on .,s^cc,s^cc
Bmr025-c9_0720030_0720340,yeah def- ==,yeah def- ==,s^aa.%-,s^aa.%-
Bmr025-c1_0722869_0729419,s- - so when we here were having this demo meeting what we're sort of coming up with is that we want to have all these pieces together to first order by the end of the month .,s- - so when we here were having this demo meeting what we're sort of coming up with is that we wanna have all these pieces together to first order by the end of the month .,s,s
Bmr025-c9_0723126_0723376,i- ==,i- ==,%-,%-
Bmr025-c1_0730168_0731688,and then that'll give us a week or so .,and then that'll give us a week or so .,s,s
Bmr025-c9_0730863_0732363,oh the end of this month or next month ?,oh the end of this month or next month ?,qr^bu,qr^bu
Bmr025-c2_0731160_0731640,ooo the end of ==,ooo the end of ==,s.%-,s.%-
Bmr025-ca_0732466_0732976,this month .,this month .,s,s
Bmr025-c9_0732768_0733878,oh | you mean like today ?,oh | you mean like today ?,s^bk|qy^bu^d^rt,s^bk|qy^bu^d^rt
Bmr025-c1_0733420_0733690,ju- ==,ju- ==,%-,%-
Bmr025-c9_0734341_0734591,oh .,oh .,s^bk,s^bk
Bmr025-ca_0735200_0736500,oh sorry | next month .,oh sorry | next month .,s^fa|s^bsc,s^fa|s^bsc
Bmr025-c1_0735330_0736880,june june june .,june june june .,s,s
Bmr025-c9_0735430_0735790,next month .,next month .,s^bk^m,s^bk^m
Bmr025-c2_0735950_0736360,yeah .,yeah .,b,b
Bmr025-c9_0736120_0736350,sorry .,sorry .,s^fa,s^fa
Bmr025-ca_0736500_0737580,today isn't june first .,today isn't june first .,s,s
Bmr025-c5_0737541_0738221,there's another one .,there's another one .,s,s
Bmr025-ca_0737580_0737790,is it ?,is it ?,qy^d^g,qy^d^g
Bmr025-c4_0738680_0739100,exactly .,exactly .,b,b
Bmr025-c1_0738703_0745834,uh | that'll - that'll give us - that'll give us a week or so to uh - to port things over to my laptop and make sure that works .,uh | that'll - that'll give us - that'll give us a week or so Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.out Bmr020.trans Bmr021.dadb Bmr021.out Bmr021.trans Bmr022.dadb Bmr022.out Bmr022.trans Bmr023.dadb Bmr023.out Bmr023.trans Bmr024.dadb Bmr024.out Bmr024.trans Bmr025.dadb Bmr025.out Bmr025.trans Bmr026.dadb Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh to uh - to port things over to my laptop Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.out Bmr020.trans Bmr021.dadb Bmr021.out Bmr021.trans Bmr022.dadb Bmr022.out Bmr022.trans Bmr023.dadb Bmr023.out Bmr023.trans Bmr024.dadb Bmr024.out Bmr024.trans Bmr025.dadb Bmr025.out Bmr025.trans Bmr026.dadb Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh and make sure that works .,fg|s,fg|s
Bmr025-c9_0740245_0740475,sorry .,<o_k> sorry .,s^fa^r,s^fa^r
Bmr025-c9_0745800_0747110,i think - i mean uh where ==,i think - i mean eh where ==,s.%-,s.%-
Bmr025-c1_0745834_0745894,yeah .,yeah .,b,b
Bmr025-c2_0746400_0747630,yeah | i mean i'll be here .,yeah | i mean i'll be here .,s^bk|s,s^bk|s
Bmr025-c9_0747750_0750710,yeah if d- - if don can sort of talk to whoever's ==,yeah if d- - if don can sort of talk to whoever's ==,s^cs.%--,s^cs.%--
Bmr025-c9_0750710_0753890,because we're doing this anyway as part of our - you know the research .,cuz we're doing this anyway as part of our - you know the research .,s^df,s^df
Bmr025-c1_0751069_0751279,yeah .,yeah .,b,b
Bmr025-c9_0753890_0755620,visualizing what these features are doing .,visualizing what these features are doing .,s^e,s^e
Bmr025-c1_0755140_0755320,yeah .,yeah .,b,b
Bmr025-c9_0755620_0756380,and so either ==,and so either ==,s.%--,s.%--
Bmr025-c9_0756697_0757797,it might not be integrated .,it might not be integrated .,s,s
Bmr025-c9_0757797_0760047,but it - it could potentially be in it .,but it - it could potentially be in it .,s,s
Bmr025-c9_0761327_0761887,could find some .,could find some .,s,s
Bmr025-c1_0761470_0763130,yeah well this is to an audience of researchers .,yeah well this is to an audience of researchers .,s,s
Bmr025-c1_0763130_0763900,so i mean you know ==,so i mean you know ==,%--,%--
Bmr025-c1_0763960_0766470,to let s- - the goal is to let them know what it is we're doing .,to let s- - the goal is to let them know what it is we're doing .,s,s
Bmr025-c9_0764558_0765408,i mean it's different .,i mean it's different .,s,s
Bmr025-c1_0766470_0766870,so that's ==,so that's ==,%-,%-
Bmr025-c9_0766500_0768390,i don't think anyone has done this on meeting data .,i don't think anyone has done this on meeting data .,s,s
Bmr025-c9_0768390_0769930,so it might be neat you know .,so it might be neat you know .,s^ba,s^ba
Bmr025-c1_0769430_0769670,yeah .,yeah .,b,b
Bmr025-c1_0771654_0771804,good .,good .,b,b
Bmr025-c1_0773880_0774230,done with that .,done with that .,s^rt^t^tc,s^rt^t^tc
Bmr025-c1_0775470_0776180,x m l tools ?,x_m_l tools ?,qy^d^rt^t^tc,qy^d^rt^t^tc
Bmr025-ca_0776530_0777030,um ==,um ==,fh,fh
Bmr025-ca_0777830_0779930,so i've been doing a bunch of x m l tools .,so i've been doing a bunch of x_m_l tools .,s,s
Bmr025-ca_0779930_0783735,where you - we're sort of moving to x m l as the general format for everything .,where you - we're sort of moving to x_m_l as the general format for everything .,s,s
Bmr025-ca_0783735_0785145,and i think that's definitely the right way to go .,and i think that's definitely the right way to go .,s^ba,s^ba
Bmr025-ca_0785145_0790265,because there are a lot of tools that let you do extraction and reformatting of x m l tools .,because there are a lot of tools that let you do extraction and reformatting of x_m_l tools .,s^df,s^df
Bmr025-ca_0790803_0791203,um ==,um ==,fh,fh
Bmr025-ca_0792002_0796512,so yet again we should probably meet to talk about transcription formats in x m l .,so yet again we should probably meet to talk about transcription formats in x_m_l .,s^cs,s^cs
Bmr025-ca_0796512_0799042,because i'm not particularly happy with what we have now .,because i'm not particularly happy with what we have now .,s^df,s^df
Bmr025-ca_0799525_0800805,i mean it works with transcriber .,i mean it works with transcriber .,s,s
Bmr025-ca_0800805_0803135,but it - it's a pain to use it in other tools .,but it - it's a pain to use it in other tools .,s,s
Bmr025-ca_0803515_0805285,uh because it doesn't mark start and end .,uh because it doesn't mark start and end .,s^df,s^df
Bmr025-c5_0806000_0807750,start and end of each ?==,start and end of each ?==,qy^d.%--,qy^d.%--
Bmr025-ca_0806169_0806409,uh ==,uh ==,h,h
Bmr025-c3_0806556_0806686,yeah .,yeah .,b,b
Bmr025-ca_0807700_0808230,utterance .,utterance .,s^2,s^2
Bmr025-c5_0808322_0808822,utterance .,utterance .,s^2^bk,s^2^bk
Bmr025-c5_0808822_0809392,just marks ?,just marks ?,qy^bu^d,qy^bu^d
Bmr025-ca_0809110_0810540,so it's implicit in - in there .,so it's implicit in - in there .,s,s
Bmr025-ca_0810540_0812330,but you have to do a lot of processing to get it .,but you have to do a lot of processing to get it .,s,s
Bmr025-c5_0810680_0810970,yeah .,yeah .,b,b
Bmr025-c5_0811930_0812470,right .,right .,s^aa,s^aa
Bmr025-c5_0812530_0812830,right .,right .,s^aa^r,s^aa^r
Bmr025-ca_0812898_0816258,and so - and also i'd like to do the indirect time line business .,and so - and also i'd like to do the indirect time line business .,s^cs,s^cs
Bmr025-ca_0816721_0820131,um but regardless i mean w- - that's something that you me and jane can talk about later .,um but regardless i mean w- - that's something that you me and jane can talk about later .,s,s
Bmr025-ca_0820501_0825340,um - | but i've installed x m l tools of various sorts in various languages .,um - | but i've installed x_m_l tools of various sorts in various languages .,fh|s,fh|s
Bmr025-ca_0825340_0831009,and so if people are interested in doing - extracting any information from any of these files .,and so if people are interested in doing - extracting any information from any of these files .,s,s
Bmr025-ca_0831009_0835413,either uh information on users because the user database is that way .,either uh information on users because the user database is that way .,s^e,s^e
Bmr025-ca_0835852_0842688,i'm converting the key files to x m l so that you can extract m- - uh various inf- - uh sorted information on individual meetings .,i'm converting the key files to x_m_l so that you can extract m- - uh various inf- - uh sorted information on individual meetings .,s^e,s^e
Bmr025-c2_0839512_0839822,cool .,cool .,s^ba,s^ba
Bmr025-c3_0840796_0840986,yeah .,yeah .,b,b
Bmr025-ca_0843224_0844524,and then also the transcripts .,and then also the transcripts .,s^e,s^e
Bmr025-ca_0844664_0845784,and so l- - just let me know there .,and so l- - just let me know there .,s^co,s^co
Bmr025-ca_0845784_0847214,it's mostly java and perl .,it's mostly java and perl .,s,s
Bmr025-ca_0847717_0850317,but we can get other languages too if - if that's desirable .,but we can get other languages too if - if that's desirable .,s^cs,s^cs
Bmr025-c9_0850980_0854820,oh quick question on that is - do we have the - the seat information ?,oh quick question on that is - do we have the - the seat information ?,qy^rt,qy^rt
Bmr025-c9_0855630_0857240,in - in the key files now ?,in - in the key files now ?,qy^e^rt,qy^e^rt
Bmr025-c0_0856240_0856450,uhhuh .,mm-hmm .,s^aa^rt,s^aa^rt
Bmr025-ca_0856700_0859540,the seat information is on the key files for the ones which ==,the seat information is on the key files for the ones which ==,s^aap.%-,s^aap.%-
Bmr025-c0_0857349_0857469,uh ==,ah ==,b,b
Bmr025-c9_0858040_0858580,oh in ==,oh in ==,s^bk.%-,s^bk.%-
Bmr025-ca_0860390_0861110,it's been recorded .,it's been recorded .,s,s
Bmr025-c9_0860830_0861320,for the new one .,for the new one- - .,s^2,s^2
Bmr025-c9_0861320_0861760,okay .,o_k .,s^bk,s^bk
Bmr025-ca_0861420_0861620,yeah .,yeah .,s^aa,s^aa
Bmr025-c1_0861940_0862440,seat ?,seat ?,qy^bu^d^rt,qy^bu^d^rt
Bmr025-c9_0862020_0862270,great .,great .,s^ba,s^ba
Bmr025-c9_0862860_0863500,sea- - yeah .,sea- - yeah .,s^aa,s^aa
Bmr025-ca_0863262_0863942,where - where you're sitting .,where - where you're sitting .,s,s
Bmr025-c1_0864170_0866360,oh | not - not the quality or anything no .,oh | Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.out Bmr020.trans Bmr021.dadb Bmr021.out Bmr021.trans Bmr022.dadb Bmr022.out Bmr022.trans Bmr023.dadb Bmr023.out Bmr023.trans Bmr024.dadb Bmr024.out Bmr024.trans Bmr025.dadb Bmr025.out Bmr025.trans Bmr026.dadb Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh not - not the quality or anything no .,s^bk|s,s^bk|s
Bmr025-c3_0864930_0865050,n- ==,n- ==,%-,%-
Bmr025-ca_0865980_0866260,right .,right .,s^aa,s^aa
Bmr025-c1_0866550_0867050,okay i see .,o_k i see .,s^bk,s^bk
Bmr025-ca_0866680_0867860,it's pretty soft and squishy .,it's pretty soft and squishy .,s^ba^j,s^ba^j
Bmr025-c1_0867795_0867995,yeah .,yeah .,b,b
Bmr025-c9_0868962_0869112,all right .,alright .,b,b
Bmr025-c1_0869391_0869541,yeah .,yeah .,b,b
Bmr025-c1_0870399_0870829,okay .,o_k .,fg,fg
Bmr025-ca_0870800_0871870,oh but that might just be me .,oh but that might just be me .,s^j,s^j
